id,descripcion,categoria,talle,cantidad,precio
1,Cinturón,Accesorios,M,6,14417.44
2,Jean Mom,Pantalones,L,73,18464.05
3,Pantalón Jogger,Pantalones,S,121,17682.93
4,Cinturón,Accesorios,M,189,6295.21
5,Jean Mom,Pantalones,XS,184,24862.92
6,Campera Jean,Camperas,XS,116,25447.94
7,Gorra,Accesorios,XS,4,13845.54
8,Short Deportivo,Pantalones,XS,77,17730.24
9,Pantalón Jogger,Pantalones,L,38,20694.55
10,Buzo Frisa,Buzos,XXXL,7,31560.34
11,Zapatillas Running,Calzado,L,68,71713.29
12,Buzo Canguro,Buzos,S,134,25616.56
13,Riñonera,Accesorios,S,190,8707.4
14,Jean Skinny,Pantalones,M,94,17672.36
15,Top Deportivo,Remeras,M,12,9335.5
16,Puffer,Camperas,M,176,52865.38
17,Remera Estampada,Remeras,XL,157,13574.21
18,Gafas de Sol,Accesorios,XXXL,140,14152.68
19,Buzo Canguro,Buzos,XL,27,34595.71
20,Cardigan Tejido,Buzos,S,182,27809.13
21,Sweater de Lana,Buzos,XL,135,24940.22
22,Pantalón Jogger,Pantalones,S,92,20031.23
23,Zapatillas Running,Calzado,M,193,31091.57
24,Zapatillas Running,Calzado,XL,159,30864.79
25,Campera Jean,Camperas,M,104,34146.8
26,Remera Básica,Remeras,XS,43,14541.7
27,Rompeviento,Camperas,S,81,38062.28
28,Short Deportivo,Pantalones,M,9,27029.66
29,Riñonera,Accesorios,XL,120,14483.65
30,Hoodie Oversize,Buzos,XL,197,23055.16
31,Bufanda,Accesorios,S,47,12673.78
32,Short Deportivo,Pantalones,XL,122,12345.19
33,Remera Estampada,Remeras,XL,168,8926.47
34,Botas de Cuero,Calzado,XXL,168,48606.9
35,Campera Inflable,Camperas,L,143,67600.99
36,Cardigan Tejido,Buzos,L,118,15791.98
37,Sandalias,Calzado,XL,92,60511.08
38,Jean Mom,Pantalones,L,186,27972.08
39,Pantalón Jogger,Pantalones,XS,181,21715.78
40,Top Deportivo,Remeras,S,119,11158.63
41,Pantalón Cargo,Pantalones,M,47,16769.78
42,Top Deportivo,Remeras,XS,122,13239.9
43,Campera Inflable,Camperas,L,98,67195.58
44,Zapatillas Urbanas,Calzado,XL,147,58748.52
45,Buzo Canguro,Buzos,XS,93,34999.05
46,Campera de Cuero,Camperas,L,80,66152.46
47,Sweater de Lana,Buzos,S,108,30624.68
48,Botas de Cuero,Calzado,M,144,68707.37
49,Short Deportivo,Pantalones,XL,186,22091.93
50,Campera de Cuero,Camperas,XL,75,56389.25
51,Buzo Canguro,Buzos,XXL,117,23793.03
52,Botas de Cuero,Calzado,S,165,53608.05
53,Hoodie Oversize,Buzos,XXXL,65,32839.07
54,Ojotas,Calzado,XS,142,78931.04
55,Pantalón Jogger,Pantalones,XS,161,25739.59
56,Sweater de Lana,Buzos,XXL,179,31214.01
57,Cardigan Tejido,Buzos,S,41,23420.44
58,Sandalias,Calzado,XL,184,40481.35
59,Remera Estampada,Remeras,XXL,107,9679.61
60,Cardigan Tejido,Buzos,XXXL,191,28771.74
61,Zapatillas Running,Calzado,XS,120,65583.31
62,Pantalón Jogger,Pantalones,XS,157,27650.25
63,Zapatillas Urbanas,Calzado,XXXL,120,71653.93
64,Bufanda,Accesorios,XL,186,4968.18
65,Botas de Cuero,Calzado,XXXL,58,51790.04
66,Remera Básica,Remeras,M,10,14121.22
67,Remera Estampada,Remeras,XXL,97,11589.98
68,Buzo Frisa,Buzos,S,164,26505.98
69,Puffer,Camperas,L,129,30812.66
70,Buzo Frisa,Buzos,M,59,34169.12
71,Riñonera,Accesorios,XXXL,40,5928.68
72,Jean Skinny,Pantalones,S,9,18526.63
73,Jean Skinny,Pantalones,XL,46,14340.06
74,Pantalón Cargo,Pantalones,L,130,14988.72
75,Riñonera,Accesorios,XXXL,166,5532.74
76,Gafas de Sol,Accesorios,M,185,10197.1
77,Rompeviento,Camperas,XS,181,51517.86
78,Rompeviento,Camperas,M,53,55133.37
79,Zapatillas Running,Calzado,XXXL,154,37963.28
80,Pantalón Cargo,Pantalones,XXXL,6,23288.98
81,Buzo Canguro,Buzos,S,152,29040.49
82,Remera Oversize,Remeras,XXL,60,7169.32
83,Short Deportivo,Pantalones,L,31,25921.34
84,Buzo Canguro,Buzos,XXL,99,16809.78
85,Cardigan Tejido,Buzos,L,158,17926.98
86,Remera Estampada,Remeras,L,75,12934.17
87,Jean Mom,Pantalones,XS,109,27372.9
88,Rompeviento,Camperas,S,118,43709.84
89,Puffer,Camperas,XXXL,15,32828.0
90,Remera Básica,Remeras,XS,56,14398.15
91,Rompeviento,Camperas,XL,181,53958.56
92,Pantalón Jogger,Pantalones,XS,165,14361.41
93,Remera Básica,Remeras,L,37,13049.38
94,Zapatillas Running,Calzado,L,91,72623.79
95,Riñonera,Accesorios,XXXL,67,6231.57
96,Remera Estampada,Remeras,L,142,9051.18
97,Jean Mom,Pantalones,XL,89,16262.95
98,Hoodie Oversize,Buzos,XXL,196,25138.54
99,Musculosa,Remeras,XL,109,14657.83
100,Rompeviento,Camperas,L,156,31690.2
101,Jean Skinny,Pantalones,S,51,15126.45
102,Campera Jean,Camperas,XS,81,35036.74
103,Bufanda,Accesorios,S,191,9992.97
104,Cardigan Tejido,Buzos,XS,23,34713.7
105,Remera Estampada,Remeras,L,31,6602.94
106,Campera Jean,Camperas,XXL,16,38462.07
107,Buzo Frisa,Buzos,XXL,78,21852.56
108,Remera Básica,Remeras,XXXL,75,11941.57
109,Pantalón Jogger,Pantalones,XS,62,29203.03
110,Jean Mom,Pantalones,XXXL,89,20901.34
111,Hoodie Oversize,Buzos,M,65,32710.57
112,Riñonera,Accesorios,XS,136,12753.36
113,Zapatillas Urbanas,Calzado,XXXL,34,70560.23
114,Riñonera,Accesorios,XL,51,12187.81
115,Pantalón Cargo,Pantalones,XL,92,23000.22
116,Puffer,Camperas,M,43,32181.7
117,Remera Oversize,Remeras,XXL,14,12467.08
118,Pantalón Cargo,Pantalones,XS,132,24073.66
119,Campera Jean,Camperas,XS,158,37962.67
120,Cinturón,Accesorios,M,196,12733.34
121,Top Deportivo,Remeras,XXL,4,7450.72
122,Zapatillas Urbanas,Calzado,XS,126,48408.82
123,Campera de Cuero,Camperas,XXXL,103,41095.35
124,Cinturón,Accesorios,XL,158,9456.2
125,Remera Oversize,Remeras,XL,141,6858.78
126,Sandalias,Calzado,L,33,28109.42
127,Cardigan Tejido,Buzos,XXL,157,19474.72
128,Sweater de Lana,Buzos,XS,57,29674.76
129,Short Deportivo,Pantalones,XXL,68,12678.81
130,Gafas de Sol,Accesorios,S,139,9841.94
131,Hoodie Oversize,Buzos,XS,32,33428.03
132,Zapatillas Running,Calzado,S,84,29867.79
133,Riñonera,Accesorios,L,106,6020.63
134,Botas de Cuero,Calzado,XL,157,66745.93
135,Campera de Cuero,Camperas,XXL,144,49628.87
136,Remera Oversize,Remeras,XXXL,58,12418.04
137,Pantalón Cargo,Pantalones,S,88,17132.47
138,Campera Inflable,Camperas,XS,173,63221.68
139,Pantalón Cargo,Pantalones,L,84,24062.2
140,Hoodie Oversize,Buzos,XL,178,32315.4
141,Remera Oversize,Remeras,XXL,128,14979.19
142,Rompeviento,Camperas,S,9,61172.52
143,Riñonera,Accesorios,XL,17,4462.56
144,Gafas de Sol,Accesorios,XS,54,11710.73
