id,descripcion,cantidad,precio,categoria,color,talle,marca,genero,material
1,Buzos Slim,29,10090.51,Buzos,Blanco,M,Adidas,Hombre,Algodón
2,Sweaters Slim,147,15153.99,Sweaters,Verde,L,Fila,Hombre,Cuero
3,Pantalones Premium,35,8938.05,Pantalones,Azul,XXL,Fila,Unisex,Mezcla
4,Remeras Deportiva,128,824.29,Remeras,Rojo,L,Puma,Unisex,Mezcla
5,Camisas Oversize,183,17919.65,Camisas,Rojo,L,Under Armour,Mujer,Lana
6,Sweaters Premium,12,18670.7,Sweaters,Rojo,M,Reebok,Hombre,Mezcla
7,Sweaters Oversize,40,4897.45,Sweaters,Amarillo,M,Adidas,Hombre,Cuero
8,Zapatillas Deportiva,106,11001.17,Zapatillas,Gris,M,Puma,Hombre,Mezcla
9,Remeras Oversize,60,14622.23,Remeras,Azul,M,Nike,Mujer,Cuero
10,Remeras Clásica,102,18505.3,Remeras,Gris,XXL,Nike,Hombre,Algodón
11,Camisas Oversize,38,19100.64,Camisas,Blanco,M,Reebok,Hombre,Mezcla
12,Remeras Premium,192,3445.96,Remeras,Blanco,XXL,Fila,Hombre,Lana
13,Camisas Slim,27,14781.52,Camisas,Blanco,M,Fila,Unisex,Lana
14,Zapatillas Oversize,116,18278.09,Zapatillas,Blanco,M,Puma,Mujer,Cuero
15,Sweaters Clásica,121,9236.21,Sweaters,Rojo,S,Under Armour,Hombre,Cuero
16,Zapatillas Slim,179,18488.85,Zapatillas,Amarillo,M,Nike,Hombre,Cuero
17,Remeras Oversize,66,10054.13,Remeras,Verde,XXL,Adidas,Mujer,Mezcla
18,Remeras Deportiva,196,15244.99,Remeras,Azul,XL,Puma,Unisex,Algodón
19,Pantalones Deportiva,2,14417.83,Pantalones,Amarillo,M,Nike,Hombre,Poliéster
20,Buzos Oversize,77,10818.29,Buzos,Gris,XXL,Reebok,Unisex,Algodón
21,Camisas Deportiva,180,1344.65,Camisas,Negro,XL,Reebok,Hombre,Lana
22,Camisas Oversize,17,12583.31,Camisas,Gris,XL,Nike,Hombre,Algodón
23,Buzos Slim,118,6324.86,Buzos,Blanco,L,Adidas,Hombre,Mezcla
24,Camisas Deportiva,129,731.66,Camisas,Verde,M,Fila,Unisex,Mezcla
25,Buzos Deportiva,192,10224.85,Buzos,Negro,S,Reebok,Unisex,Algodón
26,Zapatillas Premium,2,1605.57,Zapatillas,Amarillo,M,Nike,Hombre,Mezcla
27,Zapatillas Clásica,39,13219.08,Zapatillas,Rojo,L,Puma,Mujer,Mezcla
28,Zapatillas Clásica,36,4295.27,Zapatillas,Amarillo,S,Adidas,Hombre,Algodón
29,Zapatillas Premium,188,18692.68,Zapatillas,Amarillo,XL,Adidas,Mujer,Mezcla
30,Pantalones Deportiva,154,1410.86,Pantalones,Negro,S,Puma,Hombre,Cuero
31,Zapatillas Oversize,21,810.0,Zapatillas,Negro,XXL,Adidas,Unisex,Algodón
32,Buzos Oversize,17,2488.39,Buzos,Gris,L,Nike,Unisex,Algodón
33,Sweaters Slim,180,10363.53,Sweaters,Amarillo,XXL,Fila,Unisex,Lana
34,Buzos Premium,161,6402.25,Buzos,Blanco,XXL,Nike,Hombre,Poliéster
35,Pantalones Deportiva,112,12161.93,Pantalones,Azul,S,Nike,Unisex,Poliéster
36,Zapatillas Oversize,121,8749.53,Zapatillas,Verde,XXL,Puma,Mujer,Mezcla
37,Sweaters Oversize,111,11716.5,Sweaters,Gris,XL,Fila,Hombre,Cuero
38,Buzos Premium,171,7854.94,Buzos,Rojo,L,Nike,Unisex,Cuero
39,Buzos Slim,113,656.99,Buzos,Negro,L,Puma,Hombre,Poliéster
40,Remeras Clásica,154,17624.58,Remeras,Verde,L,Fila,Unisex,Lana
